
Fecha Local,Fecha UTC,Direcci�n del Viento (grados),Direcci�n de r�faga (grados),Rapidez de viento (km/h),Rapidez de r�faga (km/h),Temperatura del Aire (�C),Humedad relativa (%),Presi�n Atmosf�rica (hpa),Precipitaci�n (mm),Radiaci�n Solar (W/m�),
2022-11-27 19:20:00,2022-11-28 01:20:00,248.0,248.0,7.7,10.2,16.5,88,780.1,0,0,
2022-11-27 19:10:00,2022-11-28 01:10:00,259.0,247.0,6.9,10.2,16.9,82,780.1,0.25,0,
2022-11-27 19:00:00,2022-11-28 01:00:00,266.0,272.0,5.9,9.1,17.2,78,780,0,0,
2022-11-27 18:50:00,2022-11-28 00:50:00,248.0,252.0,10,17.2,17.2,75,779.8,0,0,
2022-11-27 18:40:00,2022-11-28 00:40:00,262.0,234.0,6.3,11.4,17.4,77,779.6,0,0,
2022-11-27 18:30:00,2022-11-28 00:30:00,27.0,35.0,8.4,10.8,17.3,75,779.4,0,0,
2022-11-27 18:20:00,2022-11-28 00:20:00,15.0,23.0,7.6,9.1,17.4,73,779.3,0,0,
2022-11-27 18:10:00,2022-11-28 00:10:00,349.0,326.0,6.2,10.8,17.3,69,779.3,0,0,
2022-11-27 18:00:00,2022-11-28 00:00:00,334.0,290.0,5.4,9.1,17.7,67,779.1,0,0,
2022-11-27 17:50:00,2022-11-27 23:50:00,113.0,139.0,4.4,8.5,17.4,64,778.9,0,0,
2022-11-27 17:40:00,2022-11-27 23:40:00,142.0,133.0,7.7,11.4,17,68,778.7,0,0,
2022-11-27 17:30:00,2022-11-27 23:30:00,98.0,85.0,14.7,22.3,17.2,67,778.6,0,0,
2022-11-27 17:20:00,2022-11-27 23:20:00,32.0,83.0,10.4,25.2,18,61,778.9,0.25,0,
2022-11-27 17:10:00,2022-11-27 23:10:00,307.0,299.0,11.2,18.9,18.8,57,778.9,0.25,0,
2022-11-27 17:00:00,2022-11-27 23:00:00,275.0,274.0,11.8,31,19.5,53,778.7,0,11,
2022-11-27 16:50:00,2022-11-27 22:50:00,244.0,287.0,10.5,14.9,19.9,56,778.4,0,20,
2022-11-27 16:40:00,2022-11-27 22:40:00,238.0,231.0,8.4,14.9,20.3,52,778.2,0,27,
2022-11-27 16:30:00,2022-11-27 22:30:00,217.0,215.0,8.4,12,20.4,49,778.1,0,31,
2022-11-27 16:20:00,2022-11-27 22:20:00,201.0,177.0,7.7,11.4,20.2,52,778.1,0,31,
2022-11-27 16:10:00,2022-11-27 22:10:00,219.0,212.0,10.9,17.2,20.3,57,778,0,66,
2022-11-27 16:00:00,2022-11-27 22:00:00,239.0,208.0,8.8,17.7,21.5,57,777.8,0.25,87,
2022-11-27 15:50:00,2022-11-27 21:50:00,187.0,205.0,9.6,21.2,22.4,49,777.8,0,147,
2022-11-27 15:40:00,2022-11-27 21:40:00,160.0,167.0,9.1,14.3,22.4,49,777.8,0,121,
2022-11-27 15:30:00,2022-11-27 21:30:00,158.0,160.0,12.8,22.3,22.9,48,777.9,0,118,
2022-11-27 15:20:00,2022-11-27 21:20:00,359.0,175.0,4.9,16,23.9,42,777.9,0,132,
2022-11-27 15:10:00,2022-11-27 21:10:00,295.0,307.0,7.2,14.9,24.2,40,778,0,452,
2022-11-27 15:00:00,2022-11-27 21:00:00,248.0,240.0,8,12.5,24,41,778,0,586,
2022-11-27 14:50:00,2022-11-27 20:50:00,187.0,182.0,7.4,10.2,23.8,42,778,0,578,
2022-11-27 14:40:00,2022-11-27 20:40:00,19.0,233.0,5.3,10.2,23.6,42,778.2,0,524,
2022-11-27 14:30:00,2022-11-27 20:30:00,340.0,330.0,7.9,12.5,23.7,43,778.3,0,685,
2022-11-27 14:20:00,2022-11-27 20:20:00,324.0,331.0,6.9,14.3,23.7,43,778.4,0,689,
2022-11-27 14:10:00,2022-11-27 20:10:00,8.0,324.0,6.7,12.5,23.7,43,778.5,0,660,
2022-11-27 14:00:00,2022-11-27 20:00:00,150.0,188.0,7.3,13.1,23.5,44,778.6,0,711,
2022-11-27 13:50:00,2022-11-27 19:50:00,214.0,218.0,5.8,10.8,23.9,44,778.7,0,695,
2022-11-27 13:40:00,2022-11-27 19:40:00,255.0,186.0,6.5,13.1,23.6,44,778.9,0,731,
2022-11-27 13:30:00,2022-11-27 19:30:00,248.0,217.0,4.7,9.7,23.5,45,779.1,0,762,
2022-11-27 13:20:00,2022-11-27 19:20:00,139.0,186.0,5.5,9.7,22.8,47,779.3,0,751,
2022-11-27 13:10:00,2022-11-27 19:10:00,115.0,81.0,2.8,9.1,22.5,48,779.5,0,579,
2022-11-27 13:00:00,2022-11-27 19:00:00,204.0,210.0,6.6,10.2,22.6,48,779.7,0,606,
2022-11-27 12:50:00,2022-11-27 18:50:00,205.0,209.0,6.1,11.4,22.7,48,779.9,0,782,
2022-11-27 12:40:00,2022-11-27 18:40:00,74.0,41.0,5.3,7.4,22,49,780.1,0,780,
2022-11-27 12:30:00,2022-11-27 18:30:00,20.0,39.0,7.1,10.2,21.6,52,780.2,0,809,
2022-11-27 12:20:00,2022-11-27 18:20:00,31.0,55.0,8.5,14.9,21.9,51,780.4,0,798,
2022-11-27 12:10:00,2022-11-27 18:10:00,292.0,234.0,4.8,9.1,21.7,50,780.6,0,789,
2022-11-27 12:00:00,2022-11-27 18:00:00,58.0,39.0,6.9,11.4,21.3,53,780.7,0,788,
2022-11-27 11:50:00,2022-11-27 17:50:00,69.0,119.0,9,16.6,21.2,54,780.8,0,817,
2022-11-27 11:40:00,2022-11-27 17:40:00,37.0,57.0,8.2,16,21.4,56,780.9,0,806,
2022-11-27 11:30:00,2022-11-27 17:30:00,257.0,347.0,5.2,10.8,20.9,56,781.1,0,773,
2022-11-27 11:20:00,2022-11-27 17:20:00,11.0,38.0,5.5,9.1,20.1,58,781.3,0,734,
2022-11-27 11:10:00,2022-11-27 17:10:00,35.0,21.0,8.4,14.9,20.4,59,781.4,0,733,
2022-11-27 11:00:00,2022-11-27 17:00:00,19.0,18.0,4.8,13.1,20.7,59,781.5,0,739,
2022-11-27 10:50:00,2022-11-27 16:50:00,63.0,94.0,5.9,10.8,19.9,61,781.5,0,714,
2022-11-27 10:40:00,2022-11-27 16:40:00,37.0,55.0,6.6,12.5,19.8,62,781.6,0,679,
2022-11-27 10:30:00,2022-11-27 16:30:00,328.0,289.0,3.5,6.8,19.7,62,781.7,0,659,
2022-11-27 10:20:00,2022-11-27 16:20:00,1.0,7.0,3.8,7.9,19.4,63,781.7,0,638,
2022-11-27 10:10:00,2022-11-27 16:10:00,110.0,125.0,3.2,5.6,18.7,65,781.8,0,621,
2022-11-27 10:00:00,2022-11-27 16:00:00,85.0,50.0,6.3,9.1,18.3,66,781.9,0,602,
2022-11-27 09:50:00,2022-11-27 15:50:00,68.0,88.0,6.2,8.5,18.1,68,781.9,0,570,
2022-11-27 09:40:00,2022-11-27 15:40:00,21.0,71.0,3.1,8.5,17.9,69,781.9,0,536,
2022-11-27 09:30:00,2022-11-27 15:30:00,347.0,2.0,3.9,7.4,17.6,70,782,0,505,
2022-11-27 09:20:00,2022-11-27 15:20:00,359.0,345.0,4.4,7.4,17.5,71,781.9,0,473,
2022-11-27 09:10:00,2022-11-27 15:10:00,94.0,152.0,2.4,4.5,17.5,70,781.9,0,440,
2022-11-27 09:00:00,2022-11-27 15:00:00,109.0,138.0,4.3,6.8,17,72,781.7,0,406,
2022-11-27 08:50:00,2022-11-27 14:50:00,93.0,85.0,2.2,5.1,16.8,72,781.6,0,369,
2022-11-27 08:40:00,2022-11-27 14:40:00,243.0,242.0,1.9,3.3,15.9,75,781.6,0,333,
2022-11-27 08:30:00,2022-11-27 14:30:00,218.0,222.0,2.7,5.6,15.1,77,781.6,0,282,
2022-11-27 08:20:00,2022-11-27 14:20:00,240.0,236.0,5.1,7.9,14.9,78,781.5,0,229,
2022-11-27 08:10:00,2022-11-27 14:10:00,273.0,292.0,2.9,6.2,14.5,80,781.5,0,212,
2022-11-27 08:00:00,2022-11-27 14:00:00,277.0,264.0,4.2,6.8,13.8,82,781.5,0,185,
2022-11-27 07:50:00,2022-11-27 13:50:00,266.0,283.0,5.8,9.1,13.2,84,781.4,0,150,
2022-11-27 07:40:00,2022-11-27 13:40:00,272.0,273.0,6.2,9.7,12.7,87,781.3,0,112,
2022-11-27 07:30:00,2022-11-27 13:30:00,280.0,287.0,3.4,7.4,12.2,91,781.2,0,75,
2022-11-27 07:20:00,2022-11-27 13:20:00,284.0,299.0,2.8,5.1,11.9,92,781.1,0,43,
2022-11-27 07:10:00,2022-11-27 13:10:00,337.0,1.0,2.4,3.9,11.9,92,780.9,0,15,
2022-11-27 07:00:00,2022-11-27 13:00:00,2.0,4.0,4,5.1,11.9,92,780.8,0,3,
2022-11-27 06:50:00,2022-11-27 12:50:00,356.0,348.0,4.5,6.2,11.9,91,780.7,0,0,
2022-11-27 06:40:00,2022-11-27 12:40:00,327.0,309.0,5.1,7.4,11.9,91,780.6,0,0,
2022-11-27 06:30:00,2022-11-27 12:30:00,325.0,324.0,6,7.9,12,92,780.6,0,0,
2022-11-27 06:20:00,2022-11-27 12:20:00,356.0,293.0,0,0,12.1,92,780.5,0,0,
2022-11-27 06:10:00,2022-11-27 12:10:00,297.0,293.0,2.5,4.5,12,91,780.3,0,0,
2022-11-27 06:00:00,2022-11-27 12:00:00,259.0,251.0,2,4.5,12.2,91,780.3,0,0,
2022-11-27 05:50:00,2022-11-27 11:50:00,251.0,253.0,4.7,5.6,12.3,91,780.2,0,0,
2022-11-27 05:40:00,2022-11-27 11:40:00,251.0,249.0,5.2,6.2,12.5,90,780.2,0,0,
2022-11-27 05:30:00,2022-11-27 11:30:00,247.0,247.0,5.8,7.4,12.4,89,780.2,0,0,
2022-11-27 05:20:00,2022-11-27 11:20:00,258.0,243.0,4.4,7.4,12.2,90,780.2,0,0,
2022-11-27 05:10:00,2022-11-27 11:10:00,262.0,272.0,4,6.2,12.4,89,780.2,0,0,
2022-11-27 05:00:00,2022-11-27 11:00:00,244.0,255.0,4.6,6.8,12.5,89,780.1,0,0,
2022-11-27 04:50:00,2022-11-27 10:50:00,262.0,257.0,5.2,7.9,12.4,89,780.1,0,0,
2022-11-27 04:40:00,2022-11-27 10:40:00,270.0,276.0,4.9,7.4,12.6,89,780.1,0,0,
2022-11-27 04:30:00,2022-11-27 10:30:00,275.0,270.0,4.9,7.9,12.7,88,780.1,0,0,
2022-11-27 04:20:00,2022-11-27 10:20:00,294.0,296.0,6.1,8.5,12.9,87,780.1,0,0,
2022-11-27 04:10:00,2022-11-27 10:10:00,307.0,307.0,7.2,9.1,13.1,88,780.1,0,0,
2022-11-27 04:00:00,2022-11-27 10:00:00,337.0,321.0,3.2,6.8,13.1,88,780.1,0,0,
2022-11-27 03:50:00,2022-11-27 09:50:00,345.0,305.0,0,0,13.1,88,780,0,0,
2022-11-27 03:40:00,2022-11-27 09:40:00,26.0,305.0,0,0,13,87,780,0,0,
2022-11-27 03:30:00,2022-11-27 09:30:00,16.0,305.0,0,0,13.2,85,780,0,0,
2022-11-27 03:20:00,2022-11-27 09:20:00,311.0,305.0,4,6.2,13.4,83,780.1,0,0,
2022-11-27 03:10:00,2022-11-27 09:10:00,318.0,306.0,5.6,6.8,13.4,82,780.1,0,0,
2022-11-27 03:00:00,2022-11-27 09:00:00,334.0,323.0,2.2,5.6,13.3,82,780.1,0,0,
2022-11-27 02:50:00,2022-11-27 08:50:00,311.0,295.0,0,0,13.3,82,780.1,0,0,
2022-11-27 02:40:00,2022-11-27 08:40:00,292.0,295.0,0,0,13.4,80,780.1,0,0,
2022-11-27 02:30:00,2022-11-27 08:30:00,294.0,295.0,0,0,13.7,80,780.3,0,0,
2022-11-27 02:20:00,2022-11-27 08:20:00,292.0,295.0,3.7,5.6,13.8,79,780.3,0,0,
2022-11-27 02:10:00,2022-11-27 08:10:00,297.0,308.0,4.3,5.6,13.8,79,780.3,0,0,
2022-11-27 02:00:00,2022-11-27 08:00:00,277.0,268.0,5.2,7.9,14,78,780.3,0,0,
2022-11-27 01:50:00,2022-11-27 07:50:00,272.0,254.0,4.3,6.2,14.3,78,780.4,0,0,
2022-11-27 01:40:00,2022-11-27 07:40:00,247.0,249.0,6.4,8.5,14.6,75,780.5,0,0,
2022-11-27 01:30:00,2022-11-27 07:30:00,235.0,238.0,5.8,7.4,14.7,76,780.5,0,0,
2022-11-27 01:20:00,2022-11-27 07:20:00,241.0,227.0,7.3,9.1,14.6,77,780.5,0,0,
2022-11-27 01:10:00,2022-11-27 07:10:00,256.0,254.0,6.8,9.1,14.5,77,780.5,0,0,
2022-11-27 01:00:00,2022-11-27 07:00:00,260.0,260.0,7.4,11.4,14.4,78,780.6,0,0,
2022-11-27 00:50:00,2022-11-27 06:50:00,275.0,282.0,6.4,8.5,14.6,79,780.6,0,0,
2022-11-27 00:40:00,2022-11-27 06:40:00,282.0,274.0,5.1,7.9,14.9,80,780.6,0,0,
2022-11-27 00:30:00,2022-11-27 06:30:00,305.0,294.0,3,6.8,15.5,84,780.6,0,0,
2022-11-27 00:20:00,2022-11-27 06:20:00,231.0,217.0,4,7.4,15.9,85,780.6,0,0,
2022-11-27 00:10:00,2022-11-27 06:10:00,221.0,198.0,4.9,7.4,16,84,780.6,0,0,
2022-11-27 00:00:00,2022-11-27 06:00:00,221.0,222.0,4.3,6.8,16,84,780.5,0,0,
2022-11-26 23:50:00,2022-11-27 05:50:00,218.0,197.0,4.1,5.1,16.1,83,780.5,0,0,
2022-11-26 23:40:00,2022-11-27 05:40:00,213.0,232.0,4.2,6.2,16,83,780.4,0,0,
2022-11-26 23:30:00,2022-11-27 05:30:00,265.0,245.0,4.8,7.4,15.9,83,780.4,0,0,
2022-11-26 23:20:00,2022-11-27 05:20:00,314.0,321.0,3.1,5.1,16,80,780.4,0,0,
2022-11-26 23:10:00,2022-11-27 05:10:00,38.0,9.0,0,0,16.3,78,780.4,0,0,
2022-11-26 23:00:00,2022-11-27 05:00:00,0.0,9.0,2.2,3.9,16.4,80,780.3,0,0,
2022-11-26 22:50:00,2022-11-27 04:50:00,286.0,349.0,2.3,4.5,16.6,78,780.3,0,0,
2022-11-26 22:40:00,2022-11-27 04:40:00,174.0,202.0,2.7,5.1,16.6,80,780.3,0,0,
2022-11-26 22:30:00,2022-11-27 04:30:00,214.0,223.0,2.2,4.5,16.8,79,780.3,0,0,
2022-11-26 22:20:00,2022-11-27 04:20:00,194.0,228.0,2.6,4.5,17.1,77,780.2,0,0,
2022-11-26 22:10:00,2022-11-27 04:10:00,187.0,161.0,4.5,7.4,17.3,75,780.1,0,0,
2022-11-26 22:00:00,2022-11-27 04:00:00,196.0,213.0,3.4,6.2,17.4,75,780.1,0,0,
2022-11-26 21:50:00,2022-11-27 03:50:00,176.0,160.0,5.7,10.8,17.4,73,780.1,0,0,
2022-11-26 21:40:00,2022-11-27 03:40:00,215.0,187.0,0,3.9,17.4,71,780.1,0,0,
2022-11-26 21:30:00,2022-11-27 03:30:00,240.0,235.0,2.9,5.6,17.7,67,780,0,0,
2022-11-26 21:20:00,2022-11-27 03:20:00,237.0,249.0,6.7,10.8,17.9,65,780,0,0,
2022-11-26 21:10:00,2022-11-27 03:10:00,256.0,255.0,3.9,7.9,18,60,780,0,0,
2022-11-26 21:00:00,2022-11-27 03:00:00,216.0,224.0,6,11.4,18,59,779.8,0,0,
2022-11-26 20:50:00,2022-11-27 02:50:00,253.0,250.0,6,10.2,18.3,58,779.8,0,0,
2022-11-26 20:40:00,2022-11-27 02:40:00,217.0,223.0,6.3,12,18.5,56,779.7,0,0,
2022-11-26 20:30:00,2022-11-27 02:30:00,231.0,223.0,5.8,8.5,18.7,54,779.6,0,0,
2022-11-26 20:20:00,2022-11-27 02:20:00,238.0,236.0,7.6,12,18.7,54,779.5,0,0,
2022-11-26 20:10:00,2022-11-27 02:10:00,243.0,270.0,6.7,10.8,18.8,55,779.5,0,0,
2022-11-26 20:00:00,2022-11-27 02:00:00,208.0,209.0,5.9,9.7,19,54,779.4,0,0,
2022-11-26 19:50:00,2022-11-27 01:50:00,215.0,217.0,5.7,8.5,19.1,54,779.3,0,0,
2022-11-26 19:40:00,2022-11-27 01:40:00,234.0,220.0,10.5,16.6,19.2,54,779.1,0,0,
2022-11-26 19:30:00,2022-11-27 01:30:00,246.0,231.0,8.7,18.3,19.4,55,779,0,0,
2022-11-26 19:20:00,2022-11-27 01:20:00,237.0,236.0,7.3,12,19.6,55,778.9,0,0,
2022-11-26 19:10:00,2022-11-27 01:10:00,230.0,229.0,8.5,14.3,19.7,56,778.8,0,0,
2022-11-26 19:00:00,2022-11-27 01:00:00,228.0,228.0,12,17.7,20,56,778.7,0,0,
2022-11-26 18:50:00,2022-11-27 00:50:00,241.0,238.0,12.5,22.3,20.4,56,778.7,0,0,
2022-11-26 18:40:00,2022-11-27 00:40:00,253.0,254.0,8.6,12.5,20.7,55,778.6,0,0,
2022-11-26 18:30:00,2022-11-27 00:30:00,258.0,299.0,9.6,15.4,21,53,778.4,0,0,
2022-11-26 18:20:00,2022-11-27 00:20:00,272.0,257.0,8.5,14.3,21.2,52,778.3,0,0,
2022-11-26 18:10:00,2022-11-27 00:10:00,329.0,328.0,7.9,12.5,21.6,49,778.2,0,0,
2022-11-26 18:00:00,2022-11-27 00:00:00,308.0,290.0,9.7,16,22,47,778,0,2,
2022-11-26 17:50:00,2022-11-26 23:50:00,316.0,297.0,11.5,18.3,22.5,44,777.9,0,24,
2022-11-26 17:40:00,2022-11-26 23:40:00,298.0,309.0,9.2,15.4,23.1,42,777.8,0,50,
2022-11-26 17:30:00,2022-11-26 23:30:00,300.0,304.0,6.9,14.3,23.4,41,777.7,0,89,
2022-11-26 17:20:00,2022-11-26 23:20:00,296.0,287.0,8.1,14.9,23.7,39,777.7,0,129,
2022-11-26 17:10:00,2022-11-26 23:10:00,229.0,293.0,6.6,15.4,24,38,777.6,0,152,
2022-11-26 17:00:00,2022-11-26 23:00:00,235.0,229.0,7.4,13.1,24.1,38,777.6,0,190,
2022-11-26 16:50:00,2022-11-26 22:50:00,240.0,223.0,9.8,15.4,24.2,36,777.4,0,226,
2022-11-26 16:40:00,2022-11-26 22:40:00,254.0,263.0,12,20,24.1,37,777.4,0,255,
2022-11-26 16:30:00,2022-11-26 22:30:00,249.0,241.0,11.8,18.3,24,37,777.3,0,289,
2022-11-26 16:20:00,2022-11-26 22:20:00,256.0,252.0,9.3,21.2,24,37,777.4,0,310,
2022-11-26 16:10:00,2022-11-26 22:10:00,234.0,218.0,12.3,21.8,24.4,36,777.4,0,257,
2022-11-26 16:00:00,2022-11-26 22:00:00,247.0,235.0,11.9,22.9,24.7,34,777.4,0,437,
2022-11-26 15:50:00,2022-11-26 21:50:00,236.0,237.0,13.9,21.8,24.6,34,777.5,0,478,
2022-11-26 15:40:00,2022-11-26 21:40:00,224.0,239.0,15.2,25.8,25.1,33,777.5,0,498,
2022-11-26 15:30:00,2022-11-26 21:30:00,242.0,252.0,7.7,17.2,25.2,31,777.6,0,491,
2022-11-26 15:20:00,2022-11-26 21:20:00,252.0,255.0,14.2,28.1,24.9,31,777.6,0,539,
2022-11-26 15:10:00,2022-11-26 21:10:00,218.0,221.0,9.3,20,24.7,31,777.7,0,587,
2022-11-26 15:00:00,2022-11-26 21:00:00,241.0,228.0,12.1,20,25,31,777.7,0,443,
2022-11-26 14:50:00,2022-11-26 20:50:00,228.0,232.0,7.1,16.6,25.3,31,777.7,0,723,
2022-11-26 14:40:00,2022-11-26 20:40:00,208.0,234.0,6.6,16.6,24.9,32,777.8,0,572,
2022-11-26 14:30:00,2022-11-26 20:30:00,216.0,198.0,8.3,15.4,26.3,31,777.9,0,571,
2022-11-26 14:20:00,2022-11-26 20:20:00,254.0,251.0,3.3,7.9,26.6,29,778,0,651,
2022-11-26 14:10:00,2022-11-26 20:10:00,285.0,224.0,4.8,10.2,26,30,778.1,0,694,
2022-11-26 14:00:00,2022-11-26 20:00:00,264.0,255.0,6.2,10.8,25.3,30,778.2,0,742,
2022-11-26 13:50:00,2022-11-26 19:50:00,95.0,90.0,6.5,11.4,24.5,32,778.4,0,778,
2022-11-26 13:40:00,2022-11-26 19:40:00,220.0,203.0,5.9,10.8,24.1,33,778.5,0,787,
2022-11-26 13:30:00,2022-11-26 19:30:00,144.0,163.0,10.4,16,24,33,778.7,0,756,
2022-11-26 13:20:00,2022-11-26 19:20:00,91.0,117.0,7.8,16.6,24.2,34,778.8,0,802,
2022-11-26 13:10:00,2022-11-26 19:10:00,94.0,126.0,6.8,14.9,23.9,35,779.1,0,827,
2022-11-26 13:00:00,2022-11-26 19:00:00,68.0,11.0,7.2,12.5,23.8,36,779.2,0,824,
2022-11-26 12:50:00,2022-11-26 18:50:00,99.0,116.0,8.1,16.6,23.6,36,779.4,0,837,
2022-11-26 12:40:00,2022-11-26 18:40:00,133.0,140.0,8.3,14.3,23.9,36,779.6,0,854,
2022-11-26 12:30:00,2022-11-26 18:30:00,188.0,230.0,4.7,7.4,23.8,36,779.7,0,857,
2022-11-26 12:20:00,2022-11-26 18:20:00,167.0,247.0,5.9,10.2,23,37,779.9,0,868,
2022-11-26 12:10:00,2022-11-26 18:10:00,26.0,14.0,6,11.4,22.5,40,780,0,819,
2022-11-26 12:00:00,2022-11-26 18:00:00,177.0,117.0,6.6,13.1,22.2,41,780.2,0,875,
2022-11-26 11:50:00,2022-11-26 17:50:00,146.0,151.0,9,17.7,22.4,43,780.3,0,871,
2022-11-26 11:40:00,2022-11-26 17:40:00,139.0,103.0,6.7,13.1,21.9,47,780.6,0,856,
2022-11-26 11:30:00,2022-11-26 17:30:00,109.0,126.0,8.3,13.7,21.4,48,780.7,0,848,
2022-11-26 11:20:00,2022-11-26 17:20:00,83.0,77.0,8.1,16,21.1,52,780.9,0,840,
2022-11-26 11:10:00,2022-11-26 17:10:00,124.0,93.0,7.5,13.7,20.7,56,781.1,0,855,
2022-11-26 11:00:00,2022-11-26 17:00:00,85.0,91.0,9.2,15.4,20.6,59,781.2,0,830,
2022-11-26 10:50:00,2022-11-26 16:50:00,94.0,116.0,8,13.7,19.9,64,781.4,0,793,
2022-11-26 10:40:00,2022-11-26 16:40:00,73.0,86.0,8,13.7,19.6,65,781.5,0,726,
2022-11-26 10:30:00,2022-11-26 16:30:00,100.0,86.0,7.7,13.7,19.2,67,781.6,0,635,
2022-11-26 10:20:00,2022-11-26 16:20:00,48.0,103.0,7.4,12.5,19,68,781.7,0,684,
2022-11-26 10:10:00,2022-11-26 16:10:00,36.0,27.0,6,10.2,18.8,70,781.7,0,639,
2022-11-26 10:00:00,2022-11-26 16:00:00,124.0,119.0,8.2,13.7,18.6,71,781.7,0,603,
2022-11-26 09:50:00,2022-11-26 15:50:00,118.0,66.0,7.4,12.5,18.5,72,781.8,0,604,
2022-11-26 09:40:00,2022-11-26 15:40:00,130.0,132.0,7.4,13.1,18.1,74,781.8,0,573,
2022-11-26 09:30:00,2022-11-26 15:30:00,117.0,112.0,6.9,10.8,17.8,76,781.8,0,538,
2022-11-26 09:20:00,2022-11-26 15:20:00,109.0,125.0,7.4,12,17.5,79,781.8,0,503,
2022-11-26 09:10:00,2022-11-26 15:10:00,103.0,80.0,8.2,12.5,17.3,83,781.7,0,470,
2022-11-26 09:00:00,2022-11-26 15:00:00,79.0,121.0,6.4,9.7,17.1,87,781.7,0,432,
2022-11-26 08:50:00,2022-11-26 14:50:00,116.0,99.0,6.4,9.7,16.7,93,781.7,0,396,
2022-11-26 08:40:00,2022-11-26 14:40:00,110.0,101.0,5.7,7.9,16.6,94,781.7,0,360,
2022-11-26 08:30:00,2022-11-26 14:30:00,121.0,103.0,5.5,9.1,16.7,93,781.6,0,324,
2022-11-26 08:20:00,2022-11-26 14:20:00,303.0,292.0,1.9,3.3,16.4,95,781.6,0,282,
2022-11-26 08:10:00,2022-11-26 14:10:00,277.0,308.0,1.7,2.8,15.5,99,781.6,0,245,
2022-11-26 08:00:00,2022-11-26 14:00:00,289.0,291.0,2.1,4.5,14.5,99,781.5,0,203,
2022-11-26 07:50:00,2022-11-26 13:50:00,295.0,292.0,2.2,3.9,13.8,99,781.5,0,163,
2022-11-26 07:40:00,2022-11-26 13:40:00,294.0,300.0,2.9,6.8,13.3,99,781.4,0,123,
2022-11-26 07:30:00,2022-11-26 13:30:00,252.0,255.0,0,0,12.8,99,781.3,0,89,
2022-11-26 07:20:00,2022-11-26 13:20:00,256.0,255.0,4.7,7.4,12.3,99,781.2,0,53,
